U.P.N.,h,b,S,t,xg,F,g,Jx,Jy,Wx,Wy,ix,iy=il
80,80,45,6.00,8.00,1.45,11.00,8.60,106.0,19.40,26.50,6.30,3.10,1.33
100,100,50,6.00,8.50,1.55,13.50,10.60,206.0,29.30,41.20,8.50,3.91,1.47
120,120,55,7.00,9.00,1.60,17.00,13.30,364.0,43.20,60.70,11.10,4.63,1.59
140,140,60,7.00,10.00,1.75,20.40,16.00,605.0,62.70,86.40,14.80,5.45,1.75
160,160,65,7.50,10.50,1.84,24.00,18.80,925.0,85.30,115.60,18.30,6.21,1.89
180,180,70,8.00,11.00,1.92,28.00,21.90,1350.0,114.00,150.00,22.40,6.94,2.02
200,200,75,8.50,11.50,2.01,32.20,25.20,1910.0,148.00,191.00,27.00,7.70,2.14
220,220,80,9.00,12.50,2.14,37.40,29.30,2690.0,197.00,244.50,33.60,8.48,2.30
240,240,85,9.50,13.00,2.23,42.30,33.10,3600.0,248.00,300.00,39.60,9.23,2.42
260,260,90,10.00,14.00,2.36,48.30,37.80,4820.0,317.00,370.00,47.70,9.99,2.56
280,280,95,10.00,15.00,2.53,53.30,41.80,6280.0,399.00,448.00,57.20,10.85,2.74
300,300,100,10.00,16.00,2.70,58.80,46.10,8030.0,495.00,535.00,67.80,11.69,2.90
320,320,100,14.00,17.50,2.60,75.80,59.40,10870.0,597.00,679.00,80.60,11.98,2.81
350,350,100,14.00,16.00,2.40,77.30,60.60,12840.0,570.00,733.70,75.00,12.89,2.72
380,380,102,13.50,16.00,2.38,80.40,63.00,15760.0,615.00,829.50,78.70,14.00,2.77
400,400,110,14.00,18.00,2.65,91.50,71.70,20350.0,846.00,1017.50,102.00,14.91,3.07
350,100,14.00,16.00,2.40,77.30,60.60,12840,570.00,733.70,75.00,12.89,2.72,
380,380,102,13.50,16.00,2.38,80.40,63.00,15760,615.00,829.50,78.70,14.00,2.77
400,400,110,14.00,18.00,2.65,91.50,71.70,20350,846.00,1017.50,102.00,14.91,3.07
50","71,70",20350,"846,00","1017,50","102,00","14,91","3,07"
